StrongNumberX1	StrongNumberX2	Distance
G1773	G3369	0.817592592592593
G1773	G4407	0.7981481481481481
G1773	G4406a	0.823076923076923
G1773	A383	0.79936247723133
G1773	G1722	0.810570280685204
G1773	G3719	0.76468253968254
G1773	G4404	0.734444444444444
G4126	H935	0.78573375185136
G4126	H4666	0.72040380254666
G4126	G2668	0.33031045751634
G4126	G4144	0.688218390804598
G4126	G736	0.725
G4126	G636	0.540734989648033
G4126	G321	0.617622555303117
G4126	H1980	0.76672835107048
G4126	G1020	0.576805555555556
G4126	G3896	0.743055555555556
G4126	G1277	0.738351254480287
G4126	G3881	0.520324013327745
G4126	G5284	0.607472316955076
G4126	G1339	0.6212281429262561
G4126	G1602	0.575
H2070	H6524a	0.763888888888889
H2070	G4072	0.666666666666667
H2070	H82	0.77719298245614
H2070	H5774	0.793426501035197
H2070	H6157	0.269629458320485
H2070	G2373	0.768382352941177
H2070	H1675	0.8125
H2070	H5323	0.781798245614035
H2070	H3288	0.773026315789474
H1867	H118	0.822820421701019
H1867	G5008	0.821180555555556
H1867	G3069	0.824124396135266
H1867	H743	0.821991234304667
H1867	A1868	0.0472222222222222
A3764	H4468	0.821467108856121
A3764	H4467	0.803153118894214
A3764	H4427	0.806969309071487
A3764	H4410	0.764264080847565
A3764	H3678	0.307950492031901
A3764	A4437	0.815513280723736
A3764	H7675	0.7546305233805231
A3764	G2362	0.185480260480261
A3764	H668	0.722596043248217
A3764	H8498	0.8256605810997431
A3764	H4438	0.766706744140512
H4729	H6919	0.798456790123457
H4729	H7531a	0.815873015873016
H4729	A3346	0.6726851851851851
H4729	H6866	0.741540404040404
H4729	G1714a	0.684722222222222
H5384	H7785	0.816891891891892
H5384	H1517	0.727384696016771
G3045	H4924a	0.805555555555556
G3045	H4303	0.812134502923977
G3045	H3859	0.676497113997114
G2544	G1065	0.791488603988604
G2544	H199	0.700073041346028
G2544	G235	0.824047395135576
G2544	G2543	0.456749512670565
G2544	G1063	0.77314510029023
G2544	G1222	0.618055555555556
G2544	G2539	0.471384099616858
G2544	H389	0.726023402005321
G2544	G1161	0.781186651982508
G2544	H403	0.768847982083276
G2544	G2532	0.743862894961425
G2544	H2050b	0.7477090980216901
G2544	H3588	0.741439233254678
G4649	H2162	0.816666666666667
G4649	G84	0.648927875243665
H2648	H6206	0.808591507631936
H2648	H2729	0.656966141489808
H2648	A927	0.54795778169363
H2648	H7461a	0.750858531212282
H2648	H1204	0.802128359965817
H2648	H8541	0.770355469231718
