xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n43017007006	JHN 17:7!6	v	verb		given	赐给	You have given	δέδωκάς	 	δίδωμι	δέδωκάς	1325	V-RAI-2S	second	singular			perfect	active	indicative		057008	57.71	A0:n43017005006 A1:n43017007005 A2:n43017007007	n43017005006	
n43017007007	JHN 17:7!7	io	pron	personal	me	我	Me	μοι	 	ἐγώ	μοι	3427	P-1DS		singular		dative					092001	92.1			n43017001003
n43017007008	JHN 17:7!8		prep		from	从	of	παρὰ	 	παρά	παρὰ	3844	PREP									090003	90.14			
n43017007009	JHN 17:7!9		pron	personal	you	你	You	σοῦ	 	σύ	σοῦ	4675	P-2GS		singular		genitive					092003	92.6			n43017005006
n43017007010	JHN 17:7!10	vc	verb		is	是	are	εἰσιν	·	εἰμί	εἰσιν	1526	V-PAI-3P	third	plural			present	active	indicative		013001	13.1			
n43017008001	JHN 17:8!1		conj		for	因为	for	ὅτι	 	ὅτι	ὅτι	3754	CONJ									089007	89.33			
n43017008002	JHN 17:8!2		det		the		the	τὰ	 	ὁ	τὰ	3588	T-APN		plural	neuter	accusative					092004	92.24			
n43017008003	JHN 17:8!3		noun	common	words	话	words	ῥήματα	 	ῥῆμα	ῥήματα	4487	N-APN		plural	neuter	accusative					033006	33.98			
n43017008004	JHN 17:8!4	o	pron	relative	that	所~的	that	ἃ	 	ὅς	ἃ	3739	R-APN		plural	neuter	accusative					092006	92.27			n43017008003
n43017008005	JHN 17:8!5	v	verb		gave	赐给	You have given	ἔδωκάς	 	δίδωμι	ἔδωκάς	1325	V-AAI-2S	second	singular			aorist	active	indicative		057008	57.71	A0:n43017005006 A1:n43017008004 A2:n43017008006	n43017005006	
n43017008006	JHN 17:8!6	io	pron	personal	me	我	Me	μοι	 	ἐγώ	μοι	3427	P-1DS		singular		dative					092001	92.1			n43017001003
n43017008007	JHN 17:8!7	v	verb		given	给	I have given	δέδωκα	 	δίδωμι	δέδωκα	1325	V-RAI-1S	first	singular			perfect	active	indicative		057008	57.71	A0:n43017001003 A1:n43017008003 A2:n43017008008	n43017001003	
n43017008008	JHN 17:8!8	io	pron	personal	them	他们	them	αὐτοῖς	,	αὐτός	αὐτοῖς	846	P-DPM		plural	masculine	dative					092004	92.11			n43017006006
n43017008009	JHN 17:8!9		conj		and	也	and	καὶ	 	καί	καὶ	2532	CONJ									089015	89.87			
n43017008010	JHN 17:8!10	s	pron	personal	they	他们	they	αὐτοὶ	 	αὐτός	αὐτοὶ	846	P-NPM		plural	masculine	nominative					092004	92.11			n43017006006
n43017008011	JHN 17:8!11	v	verb		received	领受	received [them]	ἔλαβον	 	λαμβάνω	ἔλαβον	2983	V-2AAI-3P	third	plural			aorist	active	indicative		031007	31.50	A0:n43017008010		
n43017008012	JHN 17:8!12		conj		and	又	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n43017008013	JHN 17:8!13	v	verb		know	知道	knew	ἔγνωσαν	 	γινώσκω	ἔγνωσαν	1097	V-2AAI-3P	third	plural			aorist	active	indicative		028001	28.1	A0:n43017006006	n43017006006	
n43017008014	JHN 17:8!14	adv	adv		truly	确实	truly	ἀληθῶς	 	ἀληθῶς	ἀληθῶς	230	ADV									070	70.3			
n43017008015	JHN 17:8!15		conj		that		that	ὅτι	 	ὅτι	ὅτι	3754	CONJ									090006	90.21			
n43017008016	JHN 17:8!16		prep		from	从	from	παρὰ	 	παρά	παρὰ	3844	PREP									090003	90.14			
n43017008017	JHN 17:8!17		pron	personal	you	你	You	σοῦ	 	σύ	σοῦ	4675	P-2GS		singular		genitive					092003	92.6			n43017005006
n43017008018	JHN 17:8!18	v	verb		came	来	I came forth	ἐξῆλθον	,	ἐξέρχομαι	ἐξῆλθον	1831	V-2AAI-1S	first	singular			aorist	active	indicative		015004	15.40	A0:n43017001003	n43017001003	
n43017008019	JHN 17:8!19		conj		and	并且	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n43017008020	JHN 17:8!20	v	verb		believed	信	they believed	ἐπίστευσαν	 	πιστεύω	ἐπίστευσαν	4100	V-AAI-3P	third	plural			aorist	active	indicative		031006	31.35	A0:n43017006006	n43017006006	
n43017008021	JHN 17:8!21		conj		that		that	ὅτι	 	ὅτι	ὅτι	3754	CONJ									090006	90.21			
n43017008022	JHN 17:8!22	s	pron	personal	you	你	You	σύ	 	σύ	σύ	4771	P-2NS		singular		nominative					092003	92.6			n43017005006
n43017008023	JHN 17:8!23	o	pron	personal	me	我	Me	με	 	ἐγώ	με	3165	P-1AS		singular		accusative					092001	92.1			n43017001003
n43017008024	JHN 17:8!24	v	verb		sent	差	sent	ἀπέστειλας	.	ἀποστέλλω	ἀπέστειλας	649	V-AAI-2S	second	singular			aorist	active	indicative		015004	15.66	A0:n43017008022 A1:n43017008023		
n43017009001	JHN 17:9!1	s	pron	personal	I	我	I	ἐγὼ	 	ἐγώ	ἐγὼ	1473	P-1NS		singular		nominative					092001	92.1			n43017001003
n43017009002	JHN 17:9!2		prep		for	为	concerning	περὶ	 	περί	περὶ	4012	PREP									090009	90.39			
n43017009003	JHN 17:9!3		pron	personal	them	他们	them	αὐτῶν	 	αὐτός	αὐτῶν	846	P-GPM		plural	masculine	genitive					092004	92.11			n43017006006
n43017009004	JHN 17:9!4	v	verb		pray	祈求	am praying	ἐρωτῶ	·	ἐρωτάω	ἐρωτῶ	2065	V-PAI-1S	first	singular			present	active	indicative		033012	33.161	A0:n43017009001		
