pdf_page,printed_page,line_order,text,bbox,bbox_normalized
552,540,30,"13:31; 15:1,87,91; 16:98; 17:9,41,45,46,60,78,82,88,89,106; !8:54;20:2,","[49.0, 1672.684, 1541.759, 1725.245]","[0.028824, 0.612256, 0.906917, 0.631495]"
552,540,31,"114; 25:30, 32; 27:1, 6, 76, 92; 28:85; 30:58; 34:31; 36:2. 69; 38:1; 39:27;","[49.0, 1725.245, 1541.759, 1777.805]","[0.028824, 0.631495, 0.906917, 0.650734]"
552,540,32,"41:3, 26, 44; 42:7; 43:3, 31; 46:29; 47:24; 50:1, 45; 54:17, 22, 32, 40; 55:2;","[49.0, 1777.805, 1541.759, 1830.365]","[0.028824, 0.650734, 0.906917, 0.669973]"
552,540,33,"56:77; 59:21; 72:1; 73:4, 20; 75:17-19; 76:23; 84:21; 85:21.","[49.0, 1830.365, 1541.759, 1882.925]","[0.028824, 0.669973, 0.906917, 0.689211]"
552,540,34,"Rabbi, 5:44, 63; 9:31, 34.","[49.0, 1882.925, 1541.759, 1935.486]","[0.028824, 0.689211, 0.906917, 0.70845]"
552,540,35,"Racism, 4:1; 49:13.","[49.0, 1935.486, 1541.759, 1988.046]","[0.028824, 0.70845, 0.906917, 0.727689]"
552,540,36,"Ramadan, 2:185.","[49.0, 1988.786, 1541.748, 2043.717]","[0.028824, 0.72796, 0.906911, 0.748066]"
552,540,37,"Rank, 2:253; 3:163; 4:95; 6:83, 132, 165; 8:4; 9;20; 12:76; 17:21; 20:75; 43:32;","[49.0, 2043.717, 1541.748, 2098.648]","[0.028824, 0.748066, 0.906911, 0.768173]"
552,540,38,46:19; 58:11.,"[50.0, 2094.786, 1542.745, 2147.899]","[0.029412, 0.766759, 0.907497, 0.7862]"
552,540,39,"Raven, 5:31; 35:27.","[50.0, 2147.899, 1542.745, 2201.013]","[0.029412, 0.7862, 0.907497, 0.805642]"
552,540,40,"Recitation, of Quran, 10:61; 18:27; 27:92; 29:45; 35:29.","[50.0, 2201.013, 1542.745, 2254.127]","[0.029412, 0.805642, 0.907497, 0.825083]"
552,540,41,Reckoning (see Judgment).,"[50.0, 2254.127, 1542.745, 2307.24]","[0.029412, 0.825083, 0.907497, 0.844524]"
552,540,42,"Reconciliation, 2:182, 224; 4:128; 49:9, 10.","[50.0, 2307.24, 1542.745, 2360.354]","[0.029412, 0.844524, 0.907497, 0.863966]"
552,540,43,"Record. 6:59; 8:68; 10:61; 11:6; 17:13,58; 18:49:20:52; 22:70; 27:75; 34:3; 35:11;","[50.0, 2360.354, 1542.745, 2413.468]","[0.029412, 0.863966, 0.907497, 0.883407]"
552,540,44,"39:69; 50:4; 57:22; 83:7, 9, 18. 20.","[51.0, 2405.565, 800.755, 2462.171]","[0.03, 0.880514, 0.471033, 0.901234]"
552,540,45,"Recorders, 82:10-12.","[51.0, 2462.171, 800.755, 2518.777]","[0.03, 0.901234, 0.471033, 0.921953]"
553,541,1,Redeem (see Repentance).,"[142.0, 144.611, 650.759, 200.468]","[0.083529, 0.053088, 0.382799, 0.073593]"
553,541,2,Refrain (see Stop).,"[143.0, 200.786, 1637.763, 253.853]","[0.084118, 0.07371, 0.96339, 0.093191]"
553,541,3,"Regret, 4:73; 6:27; 18:42; 25:27, 28; 33:66; 43:38; 69:25, 27; 78:40; 89:24.","[143.0, 253.853, 1637.763, 306.921]","[0.084118, 0.093191, 0.96339, 0.112673]"
553,541,4,"Relatives, 2:83, 177, 180; 4:7, 8. 33, 36; 5:106; 8:41; 9:113; 16:90; 17:26; 24:22;","[143.0, 306.921, 1637.763, 359.989]","[0.084118, 0.112673, 0.96339, 0.132155]"
553,541,5,26:214; 30:38; 35:18; 42:23; 59:7.,"[143.0, 359.989, 1637.763, 413.057]","[0.084118, 0.132155, 0.96339, 0.151636]"
553,541,6,"Religion. 2:256; 3:19, 83; 9:29, 33, 122; 10:105; 12:40; 22:78; 30:30, 43; 39:2. 3;","[143.0, 413.057, 1637.763, 466.125]","[0.084118, 0.151636, 0.96339, 0.171118]"
553,541,7,"40:14, 65; 42:13. 21; 48:28; 60:8; 61:9; 98;5; 107:1; 110:2.","[143.0, 456.607, 1641.735, 510.109]","[0.084118, 0.167624, 0.965727, 0.187265]"
553,541,8,"Remission, of sin, 3:193, 195; 4:31; 5:12, 65; 8:29; 29:7; 39:35; 48:5; 64:9; 65:5;","[143.0, 510.109, 1641.735, 563.611]","[0.084118, 0.187265, 0.965727, 0.206906]"
553,541,9,66:8.,"[143.0, 563.611, 1641.735, 617.113]","[0.084118, 0.206906, 0.965727, 0.226547]"
553,541,10,Remorse (see Regret).,"[143.0, 617.113, 1641.735, 670.614]","[0.084118, 0.226547, 0.965727, 0.246187]"
553,541,11,"Repentance, 4:17, 18; 9:104; 39:53; 66:8.","[143.0, 670.614, 1641.735, 724.116]","[0.084118, 0.246187, 0.965727, 0.265828]"
553,541,12,"Reproach, 2:261, 262.","[143.0, 724.116, 1641.735, 777.618]","[0.084118, 0.265828, 0.965727, 0.285469]"
553,541,13,"Resurrection, 2:56; 6:29, 36, 60; 7:14; 11:7; 15:36; 16:21,38,84.89; 17:49,79,89,","[143.0, 777.618, 1641.735, 831.12]","[0.084118, 0.285469, 0.965727, 0.30511]"
553,541,14,"98; 18:12, 19; 19:33; 22:5-7; 23:16, 37, 82, 100; 26:87; 27:65; 30:56; 31:28;","[143.0, 831.12, 1641.735, 884.621]","[0.084118, 0.30511, 0.965727, 0.324751]"
553,541,15,"36:52; 37:16, 144; 38:79- 56:47; 58:6, 18; 64:7; 72:7; 83:4.","[143.0, 884.621, 1641.735, 938.123]","[0.084118, 0.324751, 0.965727, 0.344392]"
553,541,16,"Retaliation, 2:178, 179; 17:33. .","[143.0, 938.123, 1641.735, 991.625]","[0.084118, 0.344392, 0.965727, 0.364033]"
553,541,17,Revelation (see Inspiration).,"[143.0, 991.625, 1641.735, 1045.127]","[0.084118, 0.364033, 0.965727, 0.383674]"
553,541,18,"Ridicule, 2:15, 212; 4:140; 5:57, 58; 6:5, 10; 11:8, 38; 15:11; 16:34; 18:56, 106;","[143.0, 1038.565, 1639.755, 1092.604]","[0.084118, 0.381265, 0.964562, 0.401103]"
553,541,19,"21:36, 41; 23:110; 25:41; 26:6; 30:10; 31:6; 36:30; 37:14; 38:63; 39:48, 56;","[143.0, 1092.604, 1639.755, 1146.644]","[0.084118, 0.401103, 0.964562, 0.420941]"
553,541,20,"40:83; 43:7; 45:33, 35; 46:26; 49:11.","[143.0, 1146.644, 1639.755, 1200.683]","[0.084118, 0.420941, 0.964562, 0.440779]"
553,541,21,"Rumor, do not repeat unless verified, 4:83; 24;11-17; 49:6.","[143.0, 1200.683, 1639.755, 1254.722]","[0.084118, 0.440779, 0.964562, 0.460617]"
553,541,22,"Sabbath, only for Jews, 2:65; 4:47, 154; 7:163; 16:124.","[143.0, 1254.722, 1639.755, 1308.761]","[0.084118, 0.460617, 0.964562, 0.480456]"
553,541,23,"Sacrifice, Ishmael, 37:107.","[143.0, 1308.761, 1639.755, 1362.8]","[0.084118, 0.480456, 0.964562, 0.500294]"
553,541,24,"during pilgrimage, 2:196; 5:2, 97; 48:25; 108:2.","[143.0, 1356.542, 1641.732, 1409.893]","[0.084118, 0.497996, 0.965725, 0.517582]"
553,541,25,"Saint, 4:69; 5:75; 12:46; 19:41, 56; 57:19.","[143.0, 1409.893, 1641.732, 1463.243]","[0.084118, 0.517582, 0.965725, 0.537167]"
553,541,26,"Satan, 2:34; 7:11; 15:31, 32; 17:61; 18:50; 20:116; 26:95; 34:20; 38:74, 75.","[143.0, 1463.243, 1641.732, 1516.594]","[0.084118, 0.537167, 0.965725, 0.556753]"
553,541,27,"Saul, 2:247.","[143.0, 1516.594, 1641.732, 1569.944]","[0.084118, 0.556753, 0.965725, 0.576338]"
553,541,28,Schism (see Division).,"[143.0, 1569.944, 1641.732, 1623.295]","[0.084118, 0.576338, 0.965725, 0.595923]"
553,541,29,"Scientific Miracles, 6:125; 10:5, 92; 25:61; 27:88; 71:16; 79:30.","[143.0, 1623.295, 1641.732, 1676.646]","[0.084118, 0.595923, 0.965725, 0.615509]"
553,541,30,"Secret, hidden in Quran, the numerical code, 10:20; 13:43; 25:4-6 (see","[143.0, 1676.646, 1641.732, 1729.996]","[0.084118, 0.615509, 0.965725, 0.635094]"
553,541,31,Appendix I).,"[143.0, 1729.996, 1641.732, 1783.347]","[0.084118, 0.635094, 0.965725, 0.654679]"
553,541,32,Sects (see Division).,"[143.0, 1783.347, 1641.732, 1836.697]","[0.084118, 0.654679, 0.965725, 0.674265]"
553,541,33,"Security, 2:125; 3:154; 4:83; 6:81, 82; 24:55.","[143.0, 1836.697, 1641.732, 1890.048]","[0.084118, 0.674265, 0.965725, 0.69385]"
553,541,34,"Siblings, 4:11, 12, 23, 176.","[143.0, 1890.048, 1641.732, 1943.398]","[0.084118, 0.69385, 0.965725, 0.713435]"
553,541,35,Sickness (see Illness).,"[143.0, 1943.398, 1641.732, 1996.749]","[0.084118, 0.713435, 0.965725, 0.733021]"
553,541,36,Sister (see Siblings).,"[143.0, 1996.749, 1641.732, 2050.099]","[0.084118, 0.733021, 0.965725, 0.752606]"
553,541,37,"Skin, 4:56; 16:80; 22:20; 39:23; 41:20, 21, 22.","[143.0, 2050.099, 1641.732, 2103.45]","[0.084118, 0.752606, 0.965725, 0.772192]"
553,541,38,Slander (see Rumor).,"[143.0, 2103.45, 1641.732, 2156.8]","[0.084118, 0.772192, 0.965725, 0.791777]"
553,541,39,"Slaughter, 5:4; 6:118, 119; 22:26.","[145.0, 2148.565, 1613.766, 2202.691]","[0.085294, 0.788754, 0.949274, 0.808624]"
553,541,40,"Slavery, abolished (see Abolition).","[145.0, 2202.691, 1613.766, 2256.816]","[0.085294, 0.808624, 0.949274, 0.828493]"
553,541,41,"Sleepers, of Ephesus, 18:9-25.","[145.0, 2256.816, 1613.766, 2310.941]","[0.085294, 0.828493, 0.949274, 0.848363]"
553,541,42,"Smoke, 41:11; 44:10.","[145.0, 2310.941, 1613.766, 2365.067]","[0.085294, 0.848363, 0.949274, 0.868233]"
553,541,43,Sodom (see Lot).,"[145.0, 2365.067, 1613.766, 2419.192]","[0.085294, 0.868233, 0.949274, 0.888103]"
553,541,44,"Solomon, 2:102; 4:163; 6:84; 21:78-81; 27:15-18, 30, 36, 44; 34:12; 38:30, 34.","[145.0, 2419.192, 1613.766, 2473.317]","[0.085294, 0.888103, 0.949274, 0.907973]"
553,541,45,"Son, 4:11; 5:27; 11:42; 21:91; 31:13.","[145.0, 2473.317, 1613.766, 2527.443]","[0.085294, 0.907973, 0.949274, 0.927842]"
554,542,1,"Sonship, of Jesus, 2:1 16; 4:171; 6:101; 10:68; 18:4; 19:35, 88-92; 21:26; 23:91;","[80.0, 143.607, 1582.755, 206.057]","[0.047059, 0.052278, 0.931032, 0.075012]"
554,542,2,25:2; 43:81; 112:3.,"[80.0, 197.565, 537.755, 253.846]","[0.047059, 0.07192, 0.316327, 0.092408]"
