Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:52.206,00:06:56.895,"The question is that someone has a bad habit of, you know, whatever.",Apamea,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:57.464,00:07:02.049,"And then, you say ""well, so and so has that bad habit or poor habit or whatever.""",Apamea,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:02.049,00:07:04.825,Would that again be...,Apamea,38-5
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:02.049,00:07:04.825,Uh-huh. That's backbiting.,Dr. Khalifa,38-5
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:04.825,00:07:05.791,Apamea: Backbiting.,Apamea,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:09.152,00:07:11.152,"Apamea: So, you'll change the answer.",Apamea,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:14.668,00:07:17.237,"You let... let the people find out for themselves, you know.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:21.115,00:07:24.666,"She always pulls on her left ear, you know, for example.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:24.666,00:07:27.493,Let them find out. You don't have to scandal... That's a scandal.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:28.372,00:07:30.000,Whatever the bad habit is.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:34.705,00:07:36.085,Dr. Khalifa: Back to Kathy and...,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:36.395,00:07:38.395,"Dr. Khalifa: You know, now we're Muslims now.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:38.705,00:07:42.204,"But really the first step, it's not the end, it's the beginning.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:42.204,00:07:42.704,A woman: Yeah.,A woman,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:43.169,00:07:52.924,"Dr. Khalifa: After that, there's a lot of growth and a lot of cleansing and a lot of polishing and a lot of testing until we come out like a gem.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:07:59.128,00:08:06.970,"But don't worry, you're, you're all great. Alhamdu Lillah. You're the luckiest people on earth. There's no question about it.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:08.263,00:08:12.590,All the signs are glaring and profound.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:14.590,00:08:15.646,Dr. Khalifa: Alhamdu Lillah.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:17.197,00:08:20.490,Kathy: ... strengthen us is to make us aware.,Catherine,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:21.059,00:08:23.059,They are really grace from God.,Catherine,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:08:23.938,00:08:30.798,"Kathy: I know one of my sisters says she welcomes God's test, but God knows I won't say that.",Catherine,
