Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:08.230,00:42:17.402,"[58:13]  If you have failed to give to charity before your conference, repent thereafter,... You shall observe the Salat Prayers, and Zakat charity, and obey GOD and His messenger. GOD is Cognizant of everything you do.",Robert,,58:13,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:18.766,00:42:24.150,"This is again, just reflect upon your actions and repent.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:27.332,00:42:34.433,"[58:14]  There are those who lie themselves with people who have angered God. They neither belong with you nor with them, and they deliberately swear lies!",Robert,,58:14,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:35.443,00:42:44.262,Ok. This is a very important verse in terms of allying yourself with people who are believers,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:44.262,00:42:52.373,"like yourself so that you may also, so they will help you, I guess you would say, to grow yourselves.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:52.373,00:43:00.686,"When you're around people who, as it says here, ""angered God"" or are disbelievers, their actions tend to be...",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:03.666,00:43:05.868,"Again, I'm not judging their actions.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:06.272,00:43:14.282,"Some things that are said or done, you can look upon them in a non-righteous light, which",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:14.282,00:43:20.000,"doesn't further your progress along the lines of, along the right path.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:20.000,00:43:25.535,"If you wanna keep yourself on the right path, the best way to do that is to align yourself with believers, or surround yourself with believers.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:27.535,00:43:32.414,[58:15]  GOD has prepared for them a severe retribution. Evil indeed is what they did.,Robert,,58:15,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:33.374,00:43:39.263,"Okay, this obviously refers to the angering of God in the above verse.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:41.889,00:43:46.263,"Is there something, is that... what...",Robert,25-13,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:41.889,00:43:46.263,Yes.,Dr. Khalifa,25-13,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:46.263,00:43:53.869,"Robert: Is there a specific thing that this applies to in terms of how these people angered God, or ""evil indeed is what they did""?",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:54.122,00:43:56.476,"Yeah, they allied themselves with the enemies of God.",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:43:57.537,00:44:00.598,"Actually, we have examples of these.",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:44:03.729,00:44:13.305,"People who would, for example, ally themselves. I'm talking about somebody who goes to the Islamic Center.",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:44:14.012,00:44:21.214,"In the Islamic Center, they (unintelligible) with worshippers. They don't devote their Prayer to God alone.",Dr. Khalifa,,,
