verse_index,verse_id,english,chapter_number,verse_number
7134,1:6,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",233,6
7143,1:15,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",233,15
7144,1:16,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,233,16
7148,1:20,“Naomi” means “pleasant”. “Mara” means “bitter”.,233,20
7167,2:17,1 ephah is about 22 liters or about 2/3 of a bushel,234,17
7203,4:12,"or, seed",236,12
7216,1:3,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",237,3
7230,1:17,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,237,17
7233,1:20,Samuel sounds like the Hebrew for “heard by God.”,237,20
7237,1:24,1 ephah is about 22 liters or about 2/3 of a bushel,237,24
7247,2:6,Sheol is the place of the dead.,238,6
7261,2:20,"or, seed",238,20
7272,2:31,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",238,31
7274,2:33,"or, blind your eyes with tears",238,33
7319,4:21,“Ichabod” means “no glory”.,240,21
7365,7:12,“Ebenezer” means “stone of help”.,243,12
7400,9:8,"A shekel is about 10 grams or about 0.35 ounces, so 1/4 shekel would be a small coin of about 2.5 grams.",245,8
7487,13:1,The traditional Hebrew text omits “thirty” and “forty-”. The blanks are filled in here from a few manuscripts of the Septuagint.,249,1
7507,13:21,"A payim (or pim) was 2/3 shekel of silver, or 0.26 ounces, or 7.6 grams",249,21
7584,15:23,teraphim were household idols that may have been associated with inheritance rights to the household property.,251,23
7623,17:4,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters. A span is the length from the tip of a man’s thumb to the tip of his little finger when his hand is stretched out (about half a cubit, or 9 inches, or 22.8 cm.) Therefore, Goliath was about 9 feet and 9 inches or 2.97 meters tall.",253,4
7624,17:5,"A shekel is about 10 grams or about 0.35 ounces, so 5000 shekels is about 50 kilograms or 110 pounds.",253,5
7626,17:7,"A shekel is about 10 grams or about 0.35 ounces, so 600 shekels is about 6 kilograms or about 13 pounds.",253,7
7636,17:17,1 ephah is about 22 liters or about 2/3 of a bushel,253,17
7720,19:13,teraphim were household idols that may have been associated with inheritance rights to the household property.,255,13
7839,23:28,“Sela Hammahlekoth” means “rock of parting”.,259,28
7880,25:18,1 seah is about 7 liters or 1.9 gallons or 0.8 pecks,261,18
7884,25:22,"or, male.",261,22
7887,25:25,“Nabal” means “foolish”.,261,25
7896,25:34,"or, one male.",261,34
8023,31:13,"or, salt cedar",267,13
8025,1:2,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",268,2
8035,1:12,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",268,12
8066,2:16,“Helkath Hazzurim” means “field of daggers”.,269,16
8077,2:27,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,269,27
8129,4:8,"or, seed",271,8
8153,5:20,“Baal Perazim” means “Lord who breaks out”.,272,20
8166,6:8,“Perez Uzzah” means “outbreak against Uzzah”.,273,8
8199,7:18,The word translated “Lord” is “Adonai.”,274,18
8312,12:25,“Jedidiah” means “loved by the LORD”.,279,25
8317,12:30,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,279,30
8383,14:26,"A shekel is about 10 grams or about 0.35 ounces, so 200 shekels is about 2 kilograms or about 4.4 pounds.",281,26
8609,22:6,Sheol is the place of the dead.,289,6
8717,24:24,"A shekel is about 10 grams or about 0.35 ounces, so 50 shekels is about 0.5 kilograms or 1.1 pounds.",291,24
8732,1:14,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",292,14
8735,1:17,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh). The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).",292,17
8777,2:6,Sheol is the place of the dead.,293,6
8780,2:9,Sheol is the place of the dead.,293,9
8797,2:26,The word translated “Lord” is “Adonai.”,293,26
8804,2:33,"or, seed",293,33
8867,4:22,"1 cor is the same as a homer, or about 55.9 U. S. gallons (liquid) or 211 liters or 6 bushels",295,22
8890,5:11,"20,000 cors would be about 120,000 bushels or about 4.2 megaliters of wheat, which would weigh about 3,270 metric tons. 20 cors is about 1,100 gallons or about 4220 liters.",296,11
8899,6:2,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",297,2
8920,6:23,"“Cherubim” is plural of “cherub”, an angelic being.",297,23
8937,7:2,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",298,2
8973,7:38,"1 bath is one tenth of a cor, or about 5.6 U. S. gallons or 21 liters, so 40 baths was about 224 gallons or 840 liters.",298,38
9065,9:13,“Cabul” sounds like Hebrew for “good-for-nothing”.,300,13
9066,9:14,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 120 talents is about 3.6 metric tons",300,14
