pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
11,,6,first battle between Muhammad’s,first battle between Muhammad’s,"[33.95, 393.165, 253.315, 402.54]","[0.065553, 0.550112, 0.48912, 0.563229]"
11,,6,followers and the idolators.,followers and the idolators.,"[33.95, 402.54, 253.315, 411.915]","[0.065553, 0.563229, 0.48912, 0.576346]"
11,,6,Basmalah First verse. Opening statement,Basmalah First verse. Opening statement,"[33.95, 411.915, 253.315, 421.29]","[0.065553, 0.576346, 0.48912, 0.589464]"
11,,6,"for every sura, except Sura 9.","for every sura, except Sura 9.","[33.95, 421.29, 253.315, 430.665]","[0.065553, 0.589464, 0.48912, 0.602581]"
11,,6,Bismillah,Bismillah,"[33.95, 430.665, 253.315, 440.04]","[0.065553, 0.602581, 0.48912, 0.615699]"
11,,6,In the name of God.,In the name of God.,"[33.95, 440.04, 253.315, 449.415]","[0.065553, 0.615699, 0.48912, 0.628816]"
11,,6,Gabriel Angel responsible for carrying,Gabriel Angel responsible for carrying,"[33.95, 449.415, 253.315, 458.79]","[0.065553, 0.628816, 0.48912, 0.641933]"
11,,7,10. Shawwal.,10. Shawwal.,"[262.45, 134.24, 469.462, 147.228]","[0.506758, 0.187827, 0.906471, 0.205999]"
11,,7,11. Zul Qi‘dah.,11. Zul Qi‘dah.,"[262.45, 147.228, 469.462, 160.216]","[0.506758, 0.205999, 0.906471, 0.224172]"
11,,7,12. Zul Hijjah.,12. Zul Hijjah.,"[262.45, 160.216, 469.462, 173.204]","[0.506758, 0.224172, 0.906471, 0.242345]"
11,,7,Hood,Hood,"[262.45, 173.204, 469.462, 186.192]","[0.506758, 0.242345, 0.906471, 0.260518]"
11,,7,Hunayn,Hunayn,"[262.45, 186.192, 469.462, 199.181]","[0.506758, 0.260518, 0.906471, 0.278691]"
11,,7,Iblis,Iblis,"[262.45, 199.181, 469.462, 212.169]","[0.506758, 0.278691, 0.906471, 0.296864]"
11,,8,Messenger of God. Sent to ‘Aad.,Messenger of God. Sent to ‘Aad.,"[262.45, 173.695, 464.163, 183.014]","[0.506758, 0.243032, 0.896241, 0.256072]"
11,,8,Battle of Hunain; a place.,Battle of Hunain; a place.,"[262.45, 183.014, 464.163, 192.334]","[0.506758, 0.256072, 0.896241, 0.269111]"
11,,8,Satan.,Satan.,"[262.45, 192.334, 464.163, 201.653]","[0.506758, 0.269111, 0.896241, 0.282151]"
11,,8,Imam,Imam,"[262.45, 201.653, 464.163, 210.973]","[0.506758, 0.282151, 0.896241, 0.295191]"
11,,8,Religious leader. Leader.,Religious leader. Leader.,"[262.45, 210.973, 464.163, 220.292]","[0.506758, 0.295191, 0.896241, 0.30823]"
11,,8,In Shaa Allah God willing.,In Shaa Allah God willing.,"[262.45, 220.292, 464.163, 229.612]","[0.506758, 0.30823, 0.896241, 0.32127]"
11,,8,Injeel,Injeel,"[262.45, 229.612, 464.163, 238.931]","[0.506758, 0.32127, 0.896241, 0.33431]"
11,,8,Gospel. Jesus’ scripture.,Gospel. Jesus’ scripture.,"[262.45, 238.931, 464.163, 248.251]","[0.506758, 0.33431, 0.896241, 0.34735]"
11,,8,Irum,Irum,"[262.45, 248.251, 464.163, 257.57]","[0.506758, 0.34735, 0.896241, 0.360389]"
11,,8,City where the community of ‘Aad,City where the community of ‘Aad,"[262.45, 257.57, 464.163, 266.89]","[0.506758, 0.360389, 0.896241, 0.373429]"
11,,9,"lived, and to which Hood was sent.","lived, and to which Hood was sent.","[262.7, 268.64, 487.505, 278.327]","[0.507241, 0.375877, 0.941311, 0.389431]"
11,,9,Islam,Islam,"[262.7, 278.327, 487.505, 288.013]","[0.507241, 0.389431, 0.941311, 0.402985]"
11,,9,Submission and devotion to God,Submission and devotion to God,"[262.7, 288.013, 487.505, 297.7]","[0.507241, 0.402985, 0.941311, 0.416539]"
11,,9,alone. The only religion acceptable,alone. The only religion acceptable,"[262.7, 297.7, 487.505, 307.387]","[0.507241, 0.416539, 0.941311, 0.430093]"
11,,9,by God (3:19).,by God (3:19).,"[262.7, 307.387, 487.505, 317.074]","[0.507241, 0.430093, 0.941311, 0.443647]"
11,,9,Israa’,Israa’,"[262.7, 317.074, 487.505, 326.761]","[0.507241, 0.443647, 0.941311, 0.4572]"
11,,9,"27th night of Ramadan , 13 B.H.","27th night of Ramadan, 13 B.H.","[262.7, 326.761, 487.505, 336.448]","[0.507241, 0.4572, 0.941311, 0.470754]"
11,,9,Night journey of Muhammad to the,Night journey of Muhammad to the,"[262.7, 336.448, 487.505, 346.135]","[0.507241, 0.470754, 0.941311, 0.484308]"
11,,9,highest Heaven where the Quran,highest Heaven where the Quran,"[262.7, 346.135, 487.505, 355.822]","[0.507241, 0.484308, 0.941311, 0.497862]"
11,,9,was placed in his soul. See “Night,was placed in his soul. See “Night,"[262.7, 355.822, 487.505, 365.509]","[0.507241, 0.497862, 0.941311, 0.511416]"
11,,9,of Power.”,of Power.”,"[262.7, 365.509, 487.505, 375.196]","[0.507241, 0.511416, 0.941311, 0.524969]"
11,,9,Jannah,Jannah,"[262.7, 375.196, 487.505, 384.882]","[0.507241, 0.524969, 0.941311, 0.538523]"
