pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
740,725,15,"35:10,43;40:25,37;52:46;71:22; 111:1","35:10,43;40:25,37;52:46;71:22; 111:1","[338.74, 495.025, 477.69, 504.987]","[0.654065, 0.692633, 0.922359, 0.706572]"
740,725,15,God’s 3:54; 7:183; 8:30; 10:21;,God’s 3:54; 7:183; 8:30; 10:21;,"[338.74, 504.987, 477.69, 514.949]","[0.654065, 0.706572, 0.922359, 0.720511]"
740,725,15,13:42; 27:50; 68:45; 86:15-6,13:42; 27:50; 68:45; 86:15-6,"[338.74, 514.949, 477.69, 524.911]","[0.654065, 0.720511, 0.922359, 0.734449]"
740,725,15,Scholars 26:197,Scholars 26:197,"[338.74, 524.911, 477.69, 534.873]","[0.654065, 0.734449, 0.922359, 0.748388]"
740,725,15,Scientific miracles 11:7; 21:30-3;,Scientific miracles 11:7; 21:30-3;,"[338.74, 534.873, 477.69, 544.835]","[0.654065, 0.748388, 0.922359, 0.762327]"
740,725,16,53:32; 81:4,53:32; 81:4,"[40.199, 493.485, 180.44, 503.525]","[0.077619, 0.690479, 0.348407, 0.704526]"
740,725,16,"Resentment 2:90,213; 3:19;4::54;","Resentment 2:90,213; 3:19;4::54;","[40.199, 503.525, 180.44, 513.564]","[0.077619, 0.704526, 0.348407, 0.718573]"
740,725,16,"5:59,64,68","5:59,64,68","[40.199, 513.564, 180.44, 523.603]","[0.077619, 0.718573, 0.348407, 0.73262]"
740,725,16,"Responsibility 2:134,139,225,233;","Responsibility 2:134,139,225,233;","[40.199, 523.603, 180.44, 533.643]","[0.077619, 0.73262, 0.348407, 0.746667]"
740,725,16,3:161; 5:89; 7:54; 11:35; 17:34;,3:161; 5:89; 7:54; 11:35; 17:34;,"[40.199, 533.643, 180.44, 543.682]","[0.077619, 0.746667, 0.348407, 0.760714]"
740,725,16,"24:11,54; 33:5,15,72; 34:25; 39:7;","24:11,54; 33:5,15,72; 34:25; 39:7;","[40.199, 543.682, 180.44, 553.722]","[0.077619, 0.760714, 0.348407, 0.774761]"
740,725,16,53:39; 65:8,53:39; 65:8,"[40.199, 553.722, 180.44, 563.761]","[0.077619, 0.774761, 0.348407, 0.788808]"
740,725,16,"Resurrection, see Day of","Resurrection, see Day of","[40.199, 563.761, 180.44, 573.801]","[0.077619, 0.788808, 0.348407, 0.802856]"
740,725,16,Retribution (see also Hell),Retribution (see also Hell),"[40.199, 573.801, 180.44, 583.84]","[0.077619, 0.802856, 0.348407, 0.816903]"
740,725,16,chosing 2:175; 26:6,chosing 2:175; 26:6,"[40.199, 583.84, 180.44, 593.88]","[0.077619, 0.816903, 0.348407, 0.83095]"
740,725,16,described 4:56; 6:70; 8:50; 10:4;,described 4:56; 6:70; 8:50; 10:4;,"[40.199, 593.88, 180.44, 603.919]","[0.077619, 0.83095, 0.348407, 0.844997]"
740,725,16,14:17; 15:50; 22:22; 40:49; 73:13;,14:17; 15:50; 22:22; 40:49; 73:13;,"[40.199, 603.919, 180.44, 613.959]","[0.077619, 0.844997, 0.348407, 0.859044]"
740,725,16,78:21-26,78:21-26,"[40.199, 613.959, 180.44, 623.998]","[0.077619, 0.859044, 0.348407, 0.873091]"
740,725,16,"deserving 2:10,104,166,178; 3:4,19,","deserving 2:10,104,166,178; 3:4,19,","[40.199, 623.998, 180.44, 634.038]","[0.077619, 0.873091, 0.348407, 0.887138]"
740,725,16,"77,105,177,182; 4:55,93,138; 6:49,","77,105,177,182; 4:55,93,138; 6:49,","[40.199, 634.038, 180.44, 644.077]","[0.077619, 0.887138, 0.348407, 0.901185]"
740,725,16,"124; 9:34,61; 15:90; 16:63,106;","124; 9:34,61; 15:90; 16:63,106;","[40.199, 644.077, 180.44, 654.117]","[0.077619, 0.901185, 0.348407, 0.915233]"
740,725,16,"17:8,16,63; 24:19,23; 29:23; 38:14,","17:8,16,63; 24:19,23; 29:23; 38:14,","[40.199, 654.117, 180.44, 664.156]","[0.077619, 0.915233, 0.348407, 0.92928]"
